station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold
东城区,2026-04-30,15,156.7,,160
东城区,2026-04-30,16,146.1,,160
东城区,2026-04-30,17,146.6,,160
东城区,2026-04-30,18,133.5,,160
东城区,2026-04-30,19,128.6,,160
东城区,2026-04-30,20,115.1,,160
东城区,2026-04-30,21,119.1,,160
东城区,2026-04-30,22,104.8,,160
东城区,2026-04-30,23,102.2,,160
东城区,2026-05-01,0,88.8,,160
东城区,2026-05-01,1,82.6,,160
东城区,2026-05-01,2,72.4,,160
东城区,2026-05-01,3,76.1,,160
东城区,2026-05-01,4,72.8,,160
东城区,2026-05-01,5,66.2,,160
东城区,2026-05-01,6,69.0,,160
东城区,2026-05-01,7,64.1,,160
东城区,2026-05-01,8,70.3,,160
东城区,2026-05-01,9,78.4,,160
东城区,2026-05-01,10,85.0,,160
东城区,2026-05-01,11,102.4,,160
东城区,2026-05-01,12,114.1,,160
东城区,2026-05-01,13,122.7,,160
东城区,2026-05-01,14,134.2,,160
