station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold,pred_8h_rolling_mean,exceed_probability (%)
东城区,2026-05-12,0,107.0,,160,130.75,0.05
东城区,2026-05-12,1,109.7,,160,124.21,0.01
东城区,2026-05-12,2,90.7,,160,116.68,0.0
东城区,2026-05-12,3,91.2,,160,111.45,0.0
东城区,2026-05-12,4,83.0,,160,106.45,0.0
东城区,2026-05-12,5,74.1,,160,99.84,0.0
东城区,2026-05-12,6,68.7,,160,92.8,0.0
东城区,2026-05-12,7,72.0,,160,87.05,0.0
东城区,2026-05-12,8,76.4,,160,83.22,0.0
东城区,2026-05-12,9,90.9,,160,80.88,0.0
东城区,2026-05-12,10,98.9,,160,81.9,0.0
东城区,2026-05-12,11,141.7,,160,88.21,0.0
东城区,2026-05-12,12,164.5,,160,98.4,0.0
东城区,2026-05-12,13,178.2,,160,111.41,0.0
东城区,2026-05-12,14,187.5,,160,126.26,0.25
东城区,2026-05-12,15,187.4,,160,140.69,28.94
东城区,2026-05-12,16,184.4,,160,154.19,98.3
东城区,2026-05-12,17,190.0,,160,166.58,99.98
东城区,2026-05-12,18,184.8,,160,177.31,100.0
东城区,2026-05-12,19,175.0,,160,181.48,100.0
东城区,2026-05-12,20,150.0,,160,179.66,100.0
东城区,2026-05-12,21,128.4,,160,173.44,100.0
东城区,2026-05-12,22,120.2,,160,165.02,100.0
东城区,2026-05-12,23,125.5,,160,157.29,99.98
