pollutant,site_name,station_name,forecast_date,hour,o3_pred,o3_obs,level2_threshold,pred_8h_rolling_mean,exceed_probability (%)
o3,晋江一中,东城区,2026-05-16,7,67.1,,160,71.64,0.0
o3,晋江一中,东城区,2026-05-16,8,65.2,,160,68.54,0.0
o3,晋江一中,东城区,2026-05-16,9,73.3,,160,67.2,0.0
o3,晋江一中,东城区,2026-05-16,10,75.7,,160,67.91,0.0
o3,晋江一中,东城区,2026-05-16,11,88.9,,160,71.15,0.0
o3,晋江一中,东城区,2026-05-16,12,105.8,,160,76.38,0.0
o3,晋江一中,东城区,2026-05-16,13,110.2,,160,81.78,0.0
o3,晋江一中,东城区,2026-05-16,14,118.8,,160,88.12,0.0
o3,晋江一中,东城区,2026-05-16,15,120.6,,160,94.81,0.0
o3,晋江一中,东城区,2026-05-16,16,118.8,,160,101.51,0.0
o3,晋江一中,东城区,2026-05-16,17,115.3,,160,106.76,0.0
o3,晋江一中,东城区,2026-05-16,18,100.8,,160,109.9,0.0
o3,晋江一中,东城区,2026-05-16,19,97.2,,160,110.94,0.0
o3,晋江一中,东城区,2026-05-16,20,88.1,,160,108.72,0.0
o3,晋江一中,东城区,2026-05-16,21,91.3,,160,106.36,0.0
o3,晋江一中,东城区,2026-05-16,22,91.4,,160,102.94,0.0
o3,晋江一中,东城区,2026-05-16,23,86.6,,160,98.69,0.0
o3,晋江一中,东城区,2026-05-17,0,87.1,,160,94.72,0.0
o3,晋江一中,东城区,2026-05-17,1,83.2,,160,90.71,0.0
o3,晋江一中,东城区,2026-05-17,2,77.2,,160,87.76,0.0
o3,晋江一中,东城区,2026-05-17,3,76.9,,160,85.22,0.0
o3,晋江一中,东城区,2026-05-17,4,71.9,,160,83.2,0.0
o3,晋江一中,东城区,2026-05-17,5,69.7,,160,80.5,0.0
o3,晋江一中,东城区,2026-05-17,6,75.4,,160,78.5,0.0
