station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold
东城区,2026-04-29,0,22.4,,50
东城区,2026-04-29,1,21.2,,50
东城区,2026-04-29,2,21.1,,50
东城区,2026-04-29,3,23.4,,50
东城区,2026-04-29,4,24.1,,50
东城区,2026-04-29,5,22.4,,50
东城区,2026-04-29,6,24.9,,50
东城区,2026-04-29,7,25.9,,50
东城区,2026-04-29,8,29.6,,50
东城区,2026-04-29,9,28.4,,50
东城区,2026-04-29,10,27.3,,50
东城区,2026-04-29,11,28.2,,50
东城区,2026-04-29,12,26.7,,50
东城区,2026-04-29,13,22.4,,50
东城区,2026-04-29,14,25.7,,50
东城区,2026-04-29,15,23.1,,50
东城区,2026-04-29,16,23.3,,50
东城区,2026-04-29,17,22.5,,50
东城区,2026-04-29,18,21.8,,50
东城区,2026-04-29,19,26.9,,50
东城区,2026-04-29,20,30.7,,50
东城区,2026-04-29,21,33.6,,50
东城区,2026-04-29,22,32.7,,50
东城区,2026-04-29,23,34.8,,50
