station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold,model_exceed_probability (%),threshold_distance_probability (%),exceed_probability (%)
东城区,2026-05-11,0,36.2,,50,4.26,9.11,9.11
东城区,2026-05-11,1,41.7,,50,4.46,20.05,20.05
东城区,2026-05-11,2,36.3,,50,4.29,9.25,9.25
东城区,2026-05-11,3,33.3,,50,4.22,5.82,5.82
东城区,2026-05-11,4,30.6,,50,4.13,3.79,4.13
东城区,2026-05-11,5,28.0,,50,4.32,2.49,4.32
东城区,2026-05-11,6,27.5,,50,4.22,2.3,4.22
东城区,2026-05-11,7,27.9,,50,4.21,2.45,4.21
东城区,2026-05-11,8,27.1,,50,4.13,2.15,4.13
东城区,2026-05-11,9,26.6,,50,4.14,1.98,4.14
东城区,2026-05-11,10,26.5,,50,4.07,1.95,4.07
东城区,2026-05-11,11,27.2,,50,4.07,2.19,4.07
东城区,2026-05-11,12,26.1,,50,4.09,1.83,4.09
东城区,2026-05-11,13,27.5,,50,4.05,2.3,4.05
东城区,2026-05-11,14,26.8,,50,4.07,2.05,4.07
东城区,2026-05-11,15,24.4,,50,4.06,1.38,4.06
东城区,2026-05-11,16,31.3,,50,4.11,4.24,4.24
东城区,2026-05-11,17,27.2,,50,4.09,2.19,4.09
东城区,2026-05-11,18,35.2,,50,4.12,7.82,7.82
东城区,2026-05-11,19,37.7,,50,4.23,11.41,11.41
东城区,2026-05-11,20,36.7,,50,4.34,9.83,9.83
东城区,2026-05-11,21,41.8,,50,4.48,20.32,20.32
东城区,2026-05-11,22,43.5,,50,4.79,25.29,25.29
东城区,2026-05-11,23,43.4,,50,4.57,24.97,24.97
