station_name,forecast_date,hour,pm25_pred,pm25_obs,level2_threshold,exceed_probability (%)
东城区,2026-05-12,0,49.6,,50,47.5
东城区,2026-05-12,1,51.8,,50,61.06
东城区,2026-05-12,2,47.5,,50,34.86
东城区,2026-05-12,3,39.0,,50,9.03
东城区,2026-05-12,4,36.9,,50,6.69
东城区,2026-05-12,5,37.9,,50,7.82
东城区,2026-05-12,6,44.9,,50,21.84
东城区,2026-05-12,7,35.8,,50,5.67
东城区,2026-05-12,8,33.5,,50,5.12
东城区,2026-05-12,9,36.1,,50,4.75
东城区,2026-05-12,10,25.3,,50,4.19
东城区,2026-05-12,11,28.9,,50,4.23
东城区,2026-05-12,12,27.7,,50,4.3
东城区,2026-05-12,13,29.7,,50,4.26
东城区,2026-05-12,14,26.9,,50,4.26
东城区,2026-05-12,15,28.3,,50,4.26
东城区,2026-05-12,16,31.2,,50,4.42
东城区,2026-05-12,17,30.7,,50,4.46
东城区,2026-05-12,18,31.7,,50,4.22
东城区,2026-05-12,19,33.5,,50,4.62
东城区,2026-05-12,20,43.9,,50,17.87
东城区,2026-05-12,21,36.9,,50,4.47
东城区,2026-05-12,22,40.2,,50,7.94
东城区,2026-05-12,23,43.1,,50,15.12
